Name,Address,Latitude,Longitude,Contact No.,Website,Google Rating
Vimhans PrimaMed Super Speciality Hospital - Best Hospital in India,"Vimhans PrimaMed, No. 1, Institutional Area, Nehru Nagar, New Delhi, Delhi 110065, India",28.5691901,77.2508021,+91 11 6617 6617,http://www.primamedhospitals.com/vimhans/,3.6
Indraprastha Apollo Hospitals,"Delhi Mathura Road, Sarita Vihar, New Delhi, Delhi 110076, India",28.5409246,77.2834563,+91 11 2692 5858,http://www.apollohospdelhi.com/,3.8
"Max Super Speciality Hospital, Saket","Press Enclave Marg, Saket Institutional Area, Hauz Rani, New Delhi, Delhi 110017, India",28.5277398,77.2114081,+91 11 2651 5050,http://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,3.2
TARAK HOSPITAL INDIA PRIVATE LIMITED- Best Hospital In Uttam Nagar,"C-7,Jai Bharat Enclave , Dwarka More, New Delhi, Najafgarh Rd, Block C, Dwarka, Delhi, 110059, India",28.6192561,77.0300137,+91 11 6461 3613,http://www.tarakhospital.com/,3.6
Sir Ganga Ram Hospital,"Sir Ganga Ram Hospital Marg, Rajinder Nagar, New Delhi, Delhi 110060, India",28.6384747,77.1891223,+91 11 2575 0000,http://www.sgrh.com/,3.6
Kalra Hospital,"Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi 110015, India",28.6552017,77.138551,+91 11 4500 5600,http://kalrahospital.com/,3.3
Batra Hospital & Medical Research Centre,"1, Tughlakabad Institutional Area, Mehrauli Badarpur Road, Near Saket Metro Station, New Delhi, Delhi 110062, India",28.5137809,77.2455858,+91 11 2995 8747,http://www.batrahospitaldelhi.org/,3.8
Fortis Escorts Heart Institute,"?????, Okhla Rd, New Friends Colony, New Delhi, Delhi 110025, India",28.5604766,77.2737239,+91 11 4713 5000,http://www.fortishealthcare.com/,3.9
Indian Spinal Injuries Centre,"Opp Vasant Valley School, Sector C, Vasant Kunj, New Delhi, Delhi 110070, India",28.5331214,77.1421843,+91 11 4225 5225,http://www.isiconline.org/,4.1
Dharamshila Narayana Superspeciality Hospital,"Vasundhara Enclave, Near New Ashok Nagar Metro Station, New Delhi, Delhi 110096, India",28.602519,77.314104,+91 1860 208 0208,http://www.narayanahealth.org/patients/locations/Delhi,3.6
BLK Super Speciality Hospital,"Building No-5, Pusa Road, Rajinder Nagar, New Delhi, Delhi 110005, India",28.643504,77.1801046,+91 11 3040 3040,http://www.blkhospital.com/,3.8
Moolchand Medcity,"Lajpat Nagar - III, New Delhi, Delhi 110024, India",28.566695,77.235517,+91 11 4200 0000,http://www.moolchandhealthcare.com/,3
Medicals in India | Hospitals in India,"B-138, Fourth Floor, Mohammadpur, Bhikaji Cama Place, New Delhi, Delhi 110066, India",28.568095,77.186618,Not Available,Not Available,5
Fortis La Femme,"S - 549, Greater Kailash - II, New Delhi, Delhi 110048, India",28.5290179,77.2438427,+91 11 4057 9400,http://www.fortislafemme.in/,3.4
Rockland Hospital,"B-33-34, Qutab Institutional Area, Katwaria Sarai, New Delhi, Delhi 110016, India",28.537361,77.181114,+91 11 4122 2222,http://www.rocklandhospitals.com/,3.1
World Brain Center,"Pankha Road, Opp.Janak Cinema, Near Dabri Crossing, Dabri, New Delhi, Delhi 110045, India",28.6104493,77.0924646,+91 11 2539 1266,http://www.wbcindia.in/,4.1
Fortis C-Doc Hospital,"Fortis C-Doc Hospital, B-16, Opp Devika Tower,, Chirag Enclave, Nehru Place Flyover, Chirag Enclave, Greater Kailash, New Delhi, Delhi 110048, India",28.5470069,77.2494395,+91 11 4910 1222,http://www.fortiscdoc.com/,3.5
Fortis Hospital,"A Block, Shalimar Bagh, Opposite Kela Godam, New Delhi, Delhi 110088, India",28.7097105,77.1699759,+91 11 4530 2222,http://www.fortishealthcare.com/,3.6
Vardaan Hospital,"B-100, Malviya Nagar, New Delhi, Delhi 110017, India",28.5372526,77.2149809,+91 11 4601 8201,http://www.vardaan.net/,4
Delhi Hospital,"A-39, Sarai Extension, Adarsh Nagar, New Delhi, Delhi 110033, India",28.7182774,77.175836,Not Available,"https://www.nhp.gov.in/hospital/delhi-hospital,-adarsh-nagar-north_west-delhi",3.5
Aashlok Fortis Hospital,"25 AB, Community Centre, Safdarjung Enclave, New Delhi, Delhi 110029, India",28.5665258,77.1989791,+91 11 6617 6617,http://www.primamedhospitals.com/vimhans/,3.6
Govind Ballabh Pant Hospital,"1, Jawaharlal Nehru Marg, New Delhi, Delhi 110002, India",28.6387546,77.2347989,+91 11 2692 5858,http://www.apollohospdelhi.com/,3.8
VPS Rockland Hospital,"HAF-B, Phase 1, Sector 12, Near Ashirwad Chowk, New Delhi, Delhi 110075, India",28.5963838,77.045671,+91 11 2651 5050,http://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-saket,3.2
Pushpawati Singhania Research Institute,"Press Enclave Marg, Sheikh Sarai II, New Delhi, Delhi 110017, India",28.533229,77.2253269,+91 11 6461 3613,http://www.tarakhospital.com/,3.6
Primus Super Speciality Hospital,"2, Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5929023,77.1812741,+91 11 2575 0000,http://www.sgrh.com/,3.6
"IBS Hospital- Best Neurosurgeon, Neurologist, Back/Neck Pain, Knee Surgery, Best Hospital in Delhi","73 Ring Road, Lajpat Nagar III, New Delhi, Delhi 110024, India",28.568939,77.2539289,+91 11 4500 5600,http://kalrahospital.com/,3.3
Jaipur Golden Hospital,"Plot No.2, Yog Ashram Marg, Sector 3, Institutional Area, Rohini, New Delhi, Delhi 110085, India",28.6977129,77.1097554,+91 11 2995 8747,http://www.batrahospitaldelhi.org/,3.8
Artemis Hospitals,"Sector 51, Gurugram, Haryana 122001, India",28.4314767,77.0723886,+91 11 4713 5000,http://www.fortishealthcare.com/,3.9
"best chemotherapy , cancer hospital in Delhi, India","13, New Rajdhani Enclave, Preet Vihar, Delhi, 110092, India",28.637453,77.293662,+91 11 4225 5225,http://www.isiconline.org/,4.1
Holy Family Hospital,"Okhla Road, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",28.5618161,77.2751113,+91 1860 208 0208,http://www.narayanahealth.org/patients/locations/Delhi,3.6
The Leprosy Mission Hospital,"Road No.69, Tahirpur, Nand Nagri, New Delhi, Delhi 110093, India",28.69138,77.317663,+91 11 3040 3040,http://www.blkhospital.com/,3.8
Batra Hospital and Medical Research Centre,"A-1/6, Ring Road, Rajouri Garden, New Delhi, Delhi 110027, India",28.6472314,77.1257982,+91 11 4200 0000,http://www.moolchandhealthcare.com/,3
Sama Hospital,"8, Siri Fort Rd, New Delhi, Delhi 110049, India",28.554559,77.226929,Not Available,Not Available,5
Dehli Hospital,"India, 4238, Ansari Rd, Part 1, Dariya Ganj, New Delhi, Delhi 110002, India",28.6417933,77.2450101,+91 11 4057 9400,http://www.fortislafemme.in/,3.4
Park Hospital,"Meera Enclave ( Chowkhandi), Near Kashopur Bus Depot, Outer Ring Road, Keshopur, Delhi, 110018, India",28.6517864,77.0931663,+91 11 4122 2222,http://www.rocklandhospitals.com/,3.2
Dr RML Hospital,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.202921,+91 11 2539 1266,http://www.wbcindia.in/,4.1
